from,to
JUNB,BCL2
LGALS1,BCL2
LRRK2,BCL2
MAP2K1,BCL2
MAPK10,BCL2
MAPK15,BCL2
MAPK4,BCL2
MAPK6,BCL2
MAPK7,BCL2
MAPK9,BCL2
MAX,BCL2
MCL1,BCL2
MITF,BCL2
MTOR,BCL2
MYB,BCL2
NFKB1,BCL2
NFKB2,BCL2
NLK,BCL2
NOXA1,BCL2
NR4A3,BCL2
ODC1,BCL2
PIAS2,BCL2
PKM,BCL2
PKMYT1,BCL2
PLK1,BCL2
POU4F1,BCL2
PPP1CC,BCL2
PPP2CB,BCL2
PPP2R5B,BCL2
PPP2R5C,BCL2
PPP2R5D,BCL2
PRKACA,BCL2
PRKCA,BCL2
PXN,BCL2
RELA,BCL2
RTN3,BCL2
SPNS1,BCL2
SRF,BCL2
STAT1,BCL2
STAT3,BCL2
STAT5A,BCL2
STAT5B,BCL2
TNF,BCL2
VEGFA,BCL2
YRDC,BCL2
YWHAQ,BCL2
ZBTB17,BCL2
NFKB1,BCL2A1
AKT1,BCL2L1
CDK1,BCL2L1
FUS,BCL2L1
IL2,BCL2L1
MAPK1,BCL2L1
MAPK14,BCL2L1
MST1,BCL2L1
MTOR,BCL2L1
NFKB1,BCL2L1
PLAT,BCL2L1
STAT1,BCL2L1
STAT3,BCL2L1
CDK1,BCL2L11
E2F1,BCL2L11
FOXO3,BCL2L11
FUS,BCL2L11
MAPK14,BCL2L11
SETD1A,BCL2L11
SIRT1,BCL2L11
AKT1,BCL3
PTK2,BCL3
FBXO11,BCL6
FOXO3,BCL6
FOXO4,BCL6
IL6,BCL6
MAPK1,BCL6
MAPK3,BCL6
PAK1,BCL6
PIN1,BCL6
RAC1,BCL6
STAT3,BCL6
STAT5A,BCL6
CDK1,BCL7C
MAPK1,BCL7C
MAPK14,BCL7C
CDK1,BCL9
MAPK14,BCL9
CDK1,BCLAF1
CDK1,BCR
EGFR,BCR
MAPK14,BCR
CALR,BDKRB2
CREBBP,BDKRB2
EP300,BDKRB2
IGF1R,BDKRB2
AGT,BECN1
AKT1,BECN1
ATG14,BECN1
ATM,BECN1
BNIP3L,BECN1
CAMK2A,BECN1
CHEK2,BECN1
CSNK1A1,BECN1
CSNK1G2,BECN1
DAPK1,BECN1
DAPK2,BECN1
DAPK3,BECN1
EGFR,BECN1
GOPC,BECN1
HYOU1,BECN1
KRT1,BECN1
MAPK8,BECN1
MAPKAPK2,BECN1
MAPKAPK3,BECN1
MCL1,BECN1
MST1,BECN1
PGK1,BECN1
PINK1,BECN1
PRKAA1,BECN1
RELA,BECN1
ROCK1,BECN1
RUBCN,BECN1
SH3GLB1,BECN1
STK4,BECN1
STYK1,BECN1
TNFAIP3,BECN1
TRAF6,BECN1
TRIM23,BECN1
ULK1,BECN1
ULK2,BECN1
UVRAG,BECN1
VMP1,BECN1
XBP1,BECN1
AKT1,BEX2
MAPK14,BFAR
CTSD,BGLAP
FGF2,BGLAP
ARNT,BHLHE40
EPAS1,BHLHE40
ARNT,BHLHE41
HIF1A,BHLHE41
ATM,BID
BCL2,BID
CTSD,BID
E2F1,BID
FAS,BID
FASLG,BID
HIF1A,BID
TNF,BID
TNFRSF1A,BID
ESR1,BIK
CDK1,BIN1
MAPK14,BIN1
PTK2,BIN1
NFKB1,BIRC2
TNFRSF1B,BIRC2
NFKB1,BIRC3
S100B,BIRC3
AKT1,BIRC5
AKT2,BIRC5
AKT3,BIRC5
AURKC,BIRC5
CDK1,BIRC5
CDK2,BIRC5
CDKN2A,BIRC5
COL1A1,BIRC5
CSNK2A1,BIRC5
CSNK2A3,BIRC5
FN1,BIRC5
FOXM1,BIRC5
HSP90AA1,BIRC5
ITGA1,BIRC5
ITGB1,BIRC5
KIF20A,BIRC5
LAMA1,BIRC5
LEF1,BIRC5
MAP2K4,BIRC5
MAPK14,BIRC5
MAX,BIRC5
MYC,BIRC5
NFKB1,BIRC5
PAK2,BIRC5
PEBP1,BIRC5
PLK1,BIRC5
PRKACA,BIRC5
PRKCA,BIRC5
RELA,BIRC5
SP1,BIRC5
TCF7,BIRC5
TCF7L1,BIRC5
TCF7L2,BIRC5
ZC3H12D,BIRC5
ATM,BLM
IGF1R,BLNK
MAPK1,BMF
PTEN,BMI1
GDF2,BMPR1A
GDF2,BMPR1B
AMH,BMPR2
BMP1,BMPR2
BMP10,BMPR2
BMP15,BMPR2
BMP3,BMPR2
BMP5,BMPR2
BMP8A,BMPR2
CHRD,BMPR2
CTDNEP1,BMPR2
FST,BMPR2
GDF1,BMPR2
GDF10,BMPR2
GDF11,BMPR2
GDF2,BMPR2
GDF3,BMPR2
GDF7,BMPR2
MERTK,BMPR2
NOG,BMPR2
PPP2CA,BMPR2
PPP2CB,BMPR2
PRMT1,BMPR2
RGMA,BMPR2
RGMB,BMPR2
SMURF1,BMPR2
SMURF2,BMPR2
AKT1,BMX
EGFR,BMX
IGF1R,BMX
KDR,BMX
TEK,BMX
ACAA2,BNIP3
ARNT,BNIP3
CD47,BNIP3
EGR2,BNIP3
HIF1A,BNIP3
PRKACA,BNIP3
TYMP,BNIP3
CREBBP,BNIP3L
EP300,BNIP3L
HIF1A,BNIP3L
IL12B,BOC
MCL1,BOK
ATM,BORA
CDK1,BORA
CASP3,BPHL
CDK1,BPTF
CDK1,BRCA1
EZH2,BRCA1
ATM,BRCA2
CDK1,BRCA2
FOXM1,BRCA2
AKT1,BRD2
MAPK14,BRD2
MAPK14,BRD4
MTOR,BRD9
HMOX1,BRIP1
ABL1,BRK1
TNF,BRMS1
CAV1,BSG
CRP,BSG
EGF,BSG
FYN,BSG
NEK6,BSG
PPIB,BSG
ATM,BSN
PTK2,BST1
CDK1,BTG1
MAPK1,BTG2
MAPK14,BTG2
IGF1R,BTK
ATM,BTRC
HSPB1,BTRC
ATM,BUB1
CDK1,BUB1
RPS6KA1,BUB1
CDK1,BUB1B
CDK1,BUB1B-PAK6
MAPK14,BUB3
ATM,BVES
ATM,C1QBP
C1QA,C4B
FN1,C5AR1
AKT1,CABLES1
CNR1,CACNA1A
CNR1,CACNA1B
MAPK1,CACNA1B
CNR1,CACNA1C
NCAM1,CACNA1C
CNR1,CACNA1D
CNR1,CACNA1E
CNR1,CACNA1F
CDK1,CACNA1G
CNR1,CACNA1G
CNR1,CACNA1H
CNR1,CACNA1I
CNR1,CACNA1S
CNR1,CACNA2D1
CNR1,CACNB1
MAPK1,CACNB1
ATM,CACNB2
CDK1,CACNB2
CNR1,CACNB2
GEM,CACNB2
PRKACA,CACNB2
