L1,R1,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
Gdf15,Egfr,32,DEVCOMLR:10116:9A6AB28C3DBC,rat_development_LR000032,GDF15,EGFR,GDF15>>EGFR,simple,1,1,GDF15>>EGFR,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Gdf15,Tgfbr1,33,DEVCOMLR:10116:3D1A29AD3798,rat_development_LR000033,GDF15,TGFBR1,GDF15>>TGFBR1,simple,1,1,GDF15>>TGFBR1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Gdf15,Ret,34,DEVCOMLR:10116:8EC02A6FBCC4,rat_development_LR000034,GDF15,RET,GDF15>>RET,simple,1,1,GDF15>>RET,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28846099,28846099,28846099,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Gdf15,Tgfbr2,35,DEVCOMLR:10116:7086CC39192E,rat_development_LR000035,GDF15,TGFBR2,GDF15>>TGFBR2,simple,1,1,GDF15>>TGFBR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Pgf,Nrp1,36,DEVCOMLR:10116:FDA3849B58E0,rat_development_LR000036,PGF,NRP1,PGF>>NRP1,simple,1,1,PGF>>NRP1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,11986311,11986311,11986311,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Pgf,Nrp2,37,DEVCOMLR:10116:159CE842452C,rat_development_LR000037,PGF,NRP2,PGF>>NRP2,simple,1,1,PGF>>NRP2,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,10748121,10748121,10748121,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Pgf,Egfr,38,DEVCOMLR:10116:423FBDB0419B,rat_development_LR000038,PGF,EGFR,PGF>>EGFR,simple,1,1,PGF>>EGFR,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
App,Lrp4,39,DEVCOMLR:10116:17B4F172240B,rat_development_LR000039,APP,LRP4,APP>>LRP4,simple,1,1,APP>>LRP4,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,23986861,23986861,23986861,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
App,Casr,40,DEVCOMLR:10116:3D1DE636F5C0,rat_development_LR000040,APP,CASR,APP>>CASR,simple,1,1,APP>>CASR,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
App,Notch2,41,DEVCOMLR:10116:F2447245DDCD,rat_development_LR000041,APP,NOTCH2,APP>>NOTCH2,simple,1,1,APP>>NOTCH2,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,16118793,16118793,16118793,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
