from,to
Fcer2a,Cd4
Tnfsf13b,Cd4
Timd4,Cd4
Jak1,Cd4
1700009N14Rik,Cd4
Rtel1,Cd4
Gm9493,Cd4
Vip,Cd4
Rps10-ps1,Cd4
Tes,Cd4
P4ha2,Cd4
Ugt2b36,Cd4
March4,Cd4
Tcirg1,Cd4
Il17f,Cd4
Trav6d-6,Cd4
Agt,Cd4
Cd9,Cd4
Epor,Cd4
Lair1,Cd4
Epo,Cd4
Ston2,Cd4
Rpl7a,Cd4
Rps6ka3,Cd4
Eif2b3,Cd4
Cd79a,Cd4
Cd44,Cd4
Plscr4,Cd4
Ccdc85c,Cd4
Hck,Cd4
Ppp1r10,Cd4
Fancb,Cd4
2310057J18Rik,Cd4
Stil,Cd4
Gak,Cd4
Pacsin2,Cd4
Syt9,Cd4
Snx9,Cd4
Gm5619,Cd4
Csnk2a2,Cd4
Cxcl12,Cd4
Syt1,Cd4
Nfkb1,Cd4
Cxcl14,Cd4
Plscr2,Cd4
Gm16477,Cd4
M6pr,Cd4
Il12rb1,Cd4
Itpr2,Cd4
Gm20425,Cd4
Runx1,Cd4
Socs4,Cd4
Hip1r,Cd4
Spats2,Cd4
Itgam,Cd4
Actr2,Cd4
Rps24,Cd4
Gm5150,Cd4
Tubb5,Cd4
Pik3r5,Cd4
Il2ra,Cd4
Ifna7,Cd4
Osm,Cd4
H2-DMb1,Cd4
Naa10,Cd4
Dpp4,Cd4
Insl5,Cd4
Cxcl1,Cd4
Cnr1,Cd4
Sri,Cd4
Ifi44l,Cd4
Prkcq,Cd4
Trav6-3,Cd4
Ptk2,Cd4
Cd300a,Cd4
Rpl7a-ps8,Cd4
Gm14214,Cd4
Il10,Cd4
Il27,Cd4
S1pr1,Cd4
Ptpn6,Cd4
Ifna13,Cd4
Pdcd1,Cd4
Tsc2,Cd4
Tap2,Cd4
H2-DMa,Cd4
Sh3pxd2a,Cd4
Gm21957,Cd4
Gla,Cd4
Dab2,Cd4
Stam,Cd4
Il7,Cd4
Pnmt,Cd4
Cd19,Cd4
Itgax,Cd4
Krt20,Cd4
Ldlrap1,Cd4
Tifab,Cd4
Eif3d,Cd4
Itgb1bp1,Cd4
Mme,Cd4
Ptpra,Cd4
Abcb1a,Cd4
Ifna14,Cd4
Zfp398,Cd4
Vtn,Cd4
Dlg4,Cd4
Igf2r,Cd4
Tlr3,Cd4
Cd320,Cd4
Vim,Cd4
1700057G04Rik,Cd4
Ifngr1,Cd4
Serpinb1b,Cd4
Sh3gl2,Cd4
Sag,Cd4
Pik3r2,Cd4
Pparg,Cd4
Akt1,Cd4
Rps13,Cd4
Gm8074,Cd4
Pros1,Cd4
Gm4907,Cd4
Trem2,Cd4
Arpc5,Cd4
Il1b,Cd4
Dr1,Cd4
Fas,Cd4
Dusp6,Cd4
Cd48,Cd4
Rpl7a-ps3,Cd4
Mycn,Cd4
Il21,Cd4
Gm8226,Cd4
Lamp3,Cd4
Hbegf,Cd4
Pik3cd,Cd4
Gm4877,Cd4
Stk25,Cd4
Tgfb1,Cd4
Max,Cd4
Lrpprc,Cd4
Myl6,Cd4
Rpl18,Cd4
Acsbg1,Cd4
Pik3ca,Cd4
Ezh2,Cd4
Acin1,Cd4
Abl1,Cd4
Tmem11,Cd4
Gng2,Cd4
Rps7,Cd4
Ifna12,Cd4
Gm12169,Cd4
Cd55,Cd4
Cntn2,Cd4
Stam2,Cd4
Rps8,Cd4
Tradd,Cd4
Ap2s1,Cd4
Rpl7a-ps10,Cd4
Lag3,Cd4
Irak1,Cd4
Gm16372,Cd4
Smad2,Cd4
Pip5k1c,Cd4
Pik3cb,Cd4
Tpt1,Cd4
Abcb1b,Cd4
BC053393,Cd4
Cxcl10,Cd4
Rps3a1,Cd4
Ap2a1,Cd4
Lcn3,Cd4
Jak2,Cd4
Cttn,Cd4
Wrap53,Cd4
H2-Oa,Cd4
H2-Ob,Cd4
Wnt5a,Cd4
Il17a,Cd4
Sele,Cd4
Dsg3,Cd4
Syncrip,Cd4
Gm4985,Cd4
Pogz,Cd4
Pgr,Cd4
Lsp1,Cd4
Rps4x,Cd4
Adra1a,Cd4
Eif3a,Cd4
Pnp2,Cd4
Gopc,Cd4
Txn1,Cd4
Sh2d1a,Cd4
Ctla4,Cd4
Selp,Cd4
Snap91,Cd4
Rps19,Cd4
Gm9774,Cd4
Cd34,Cd4
