L1,R1,R2
Hgf,Itgb1,
Hgf,Nrp2,
Hgf,Plxnb1,
Hgf,Met,
Rspo1,Lgr4,
Rspo1,Lgr6,
Rspo1,Lrp6,
Rspo1,Znrf3,
Sema3a,Plxna4,
Sema3a,Nrp2,
Sema3a,Plxna1,
Cort,Sstr3,
Draxin,Dcc,
Gnb1,Kcnj6,
Bmp3,Acvr2b,
Bmp3,Acvr2a,
Fgf5,Fgfr1,
Fgf5,Fgfr2,
Fgf5,Fgfr3,
Cxcl5,Cxcr2,
Ppbp,Cxcr2,
Pf4,Thbd,
Pf4,Fgfr2,
Pf4,Lrp1,
Areg,Erbb3,
Areg,Erbb2,
Areg,Erbb4,
Cxcl3,Cxcr2,
Cxcl1,Cxcr2,
Cxcl1,Cxcr1,
Cxcl1,Ackr1,
Il31,Il31ra,
Pla2g1b,Pla2r1,
Col1a2,Itgb1,
Col1a2,Itga2,
Col1a2,Cd93,
Epo,Mpl,
Gnb2,Kcnj6,
Npy,Npy4r,
Npy,Npy5r,
Npy,Npy1r,
Npy,Dpp4,
Npy,Npy6r,
Npy,Fap,
Tgfa,Erbb3,
Tgfa,Erbb2,
Tgfa,Erbb4,
Bmp10,Acvr1,
Bmp10,Bmpr2,
Bmp10,Bmpr1a,
Bmp10,Alk,
Prok2,Prokr2,
Prok2,Prokr1,
Wnt7a,Fzd1,
Wnt7a,Fzd9,
Wnt7a,Fzd3,
Wnt7a,Adgra2,
Wnt7a,Lrp6,
Wnt7a,Fzd5,
Wnt7a,Fzd4,
Wnt7a,Fzd7,
Gdf3,Acvr2b,
Gdf3,Acvr2a,
Vasp,Itga4,
Mfge8,Itgb5,
Mfge8,Itgb1,
Calca,Calcrl,
Calca,Calcr,
Fgf21,Fgfr1,
Fgf21,Fgfr2,
Fgf21,Fgfr3,
Hpx,Lrp1,
Fgf15,Fgfr1,
Fgf15,Fgfr2,
Fgf15,Fgfr3,
Fadd,Tradd,
Fgf13,Fgfr1,
Fgf13,Fgfr2,
Fgf13,Scn5a,
Fgf13,Fgfr3,
F9,Lrp1,
F8,Ldlr,
F8,Lrp1,
Fgf16,Fgfr1,
Fgf16,Fgfr2,
Fgf16,Fgfr3,
Bgn,P2rx7,
Bgn,Tlr4,
Vegfd,Nrp2,
Vegfd,Fgfr2,
Vegfd,Kdr,
Vegfd,Itga9,
Angpt2,Itgb1,
Angpt2,Tek,
Col4a1,Itgb1,
Col4a1,Cd93,
Col4a2,Itgb1,
Col4a2,Cd93,
Vegfc,Ccbe1,
Vegfc,Itgb1,
Vegfc,Nrp2,
Vegfc,Kdr,
Vegfc,Itga9,
Plat,Lrp1,
Plat,Itgam,
Sfrp1,Fzd2,
Fgf20,Fgfr1,
Fgf20,Fgfr2,
Fgf20,Fgfr3,
Il15,Il15ra,
Il15,Il2rb,
Il15,Il11ra1,
Mmp2,Itgb1,
Cx3cl1,Itga4,
Cx3cl1,Itgb1,
Cx3cl1,Cx3cr1,
Ccl22,Ackr2,
Ccl22,Dpp4,
Ccl17,Ackr2,
Insl3,Rxfp2,
Insl3,Rxfp1,
Jam3,Itgam,
Jam3,Itga4,
Jam3,Itgal,
Jam3,Itgb1,
Apoc3,Ldlr,
Apoc3,Lrp1,
Apoa1,Lrp2,
Lipc,Scarb1,
Lipc,Lrp1,
Ptgs2,Ptger4,
Ptgs2,Ptger3,
Ptgs2,Ptger2,
Tdgf1,Acvr2b,
Tdgf1,Acvr2a,
Tdgf1,Gpc1,
Tdgf1,Fzd7,
Ucn,Crhr1,
Ntng2,Lrrc4c,
Ntng2,Lrrc4,
Avp,Oxtr,
Lgals3bp,Itgb1,
Apob,Lrp2,
Apob,Scarb1,
Apob,Apobr,
Apob,Lrp1,
Apob,Tlr4,
Apob,Mttp,
Apob,Cd36,
Wnt4,Musk,
Wnt4,Fzd2,
Wnt4,Fzd1,
Wnt4,Fzd10,
Wnt4,Fzd8,
Wnt4,Fzd5,
Wnt4,Fzd4,
Wnt4,Fzd7,
Fgg,Itga2b,
Galp,Galr2,
Fgf2,Fgfr2,
Fgf2,Fgfr1,
Fgf2,Sdc3,
Fgf2,Fgfr3,
Csf3,Csf3r,
Bmp8a,Acvr2b,
Bmp8a,Acvr2a,
Bmp8a,Tgfbr2,
Bmp8a,Bmpr2,
Gdf7,Acvr2a,
Gdf7,Bmpr2,
Serpine1,Lrp1b,
Serpine1,Lrp2,
Serpine1,Lrp1,
Ccl5,Gpr75,
Ccl5,Ccr4,
Ccl5,Ccrl2,
Ccl5,Ccr5,
Ccl5,Ackr1,
Ccl5,Ackr2,
Ccl5,Ackr4,
Npnt,Itgb1,
Tnfsf10,Tnfrsf11b,
Inha,Acvr2a,
Pth2,Ramp1,
Mif,Cd74,
Mif,Cxcr2,
Mif,Ackr3,
Mif,Cxcr4,
Lefty1,Acvr1,
Lefty1,Acvr2b,
Lefty1,Acvr2a,
Sct,Sctr,
Rspo4,Lgr4,
Sema7a,Itgb1,
Gng10,Kcnj6,
Wnt8b,Fzd10,
Wnt8b,Ptk7,
Wnt8b,Fzd7,
Amh,Acvr1,
Il5,Csf2rb,
Il5,Il5ra,
Tgfb2,Tgfbr2,
Iapp,Ramp3,
Iapp,Calcr,
Lama1,Itgb1,
Lama1,Itga2,
Lama1,Itga1,
Lama1,Itgb4,
Lama1,Itga7,
Crp,Tlr4,
Thbs1,Itga1,
Thbs1,Vldlr,
Thbs1,Itgb1,
Thbs1,Ptprj,
Thbs1,Cd47,
Thbs1,Itga2,
Thbs1,Cd36,
Inhbb,Acvr2b,
Inhbb,Acvr2a,
Clcf1,Il6st,
Fgf1,Fgfr1,
Fgf1,Fgfr2,
Fgf1,Fgfr3,
Apln,Aplnr,
Grn,Sort1,
Nrtn,Sdc3,
Prl3a1,Prlr,
Gc,Lrp2,
Cxcl10,Cxcr4,
Cxcl10,Cxcr3,
Prl3b1,Prlr,
Chad,Itgb1,
Chad,Itga2,
Inhba,Acvr2b,
Inhba,Acvr2a,
S100b,Fgfr1,
Gdf5,Acvr1,
Gdf5,Acvr2b,
Gdf5,Acvr2a,
Gdf5,Bmpr2,
C1qa,Cd93,
Calm2,Grm7,
Calm2,Scn10a,
Calm2,Cacna1c,
Calm2,Trpc5,
Calm2,Kcnq3,
Ctf1,Il6st,
Ucn3,Crhr1,
Efnb1,Ephb2,
Efnb1,Ephb4,
Efnb1,Epha6,
Efnb1,Ephb6,
Efnb1,Epha5,
Col9a1,Mag,
Nlgn2,Nrxn1,
Nlgn2,Nrxn3,
Nlgn2,Nrxn2,
Prl2c1,Prlr,
Lcn2,Lrp2,
Inhbe,Acvr2b,
Inhbe,Acvr2a,
Pnoc,Oprl1,
Fn1,Itgb1,
Fn1,Itga2b,
Fn1,Flrt2,
Fn1,Col13a1,
Fbln1,Itgb1,
Il27,Il6st,
Pcsk9,Sort1,
Il17c,Il17re,
Dscam,Dcc,
Igf1,Insr,
Cd14,Itga4,
Cd14,Itgb1,
Cd14,Tlr9,
Fgf4,Fgfr1,
Fgf4,Fgfr2,
Fgf4,Fgfr3,
Gnai2,Adra2b,
Gnai2,Drd2,
Gnai2,C5ar1,
Hcrt,Hcrtr2,
Hcrt,Hcrtr1,
Cd24a,Selp,
Bdnf,Ntrk2,
Bdnf,Bex3,
Bdnf,Sort1,
S100a1,Ryr1,
Nxph3,Nrxn2,
Nxph3,Nrxn1,
Nxph3,Nrxn3,
Ucn2,Crhr1,
Crh,Crhr1,
Fat4,Dchs1,
Gdf6,Acvr2a,
Gdf6,Bmpr2,
Adam10,Notch3,
Adam10,Cadm1,
Artn,Sdc3,
Wnt5a,Fzd2,
Wnt5a,Fzd3,
Wnt5a,Ryk,
Wnt5a,Fzd5,
Wnt5a,Fzd7,
Adam12,Itgb1,
Adam12,Epha1,
Amelx,Cd63,
Nlgn3,Nrxn1,
Nlgn3,Nrxn3,
Nlgn3,Nrxn2,
Agt,Lrp2,
Agt,Agtr1a,
Agt,Agtr1b,
Agt,Agtr2,
Agt,Mas1,
Slit3,Robo3,
Slit3,Robo2,
Slit3,Plxna1,
Lep,Lrp2,
Adcyap1,Adrb3,
Adcyap1,Ramp2,
Lif,Lifr,
Lif,Il6st,
Rspo2,Znrf3,
Adam17,Aplp2,
Adam17,Itgb1,
Adam17,Notch2,
Adam17,Ghr,
Adam17,Erbb4,
Adam17,Rhbdf2,
Dmp1,Phex,
Sema5a,Met,
Sema5a,Plxna1,
Fgf7,Fgfr1,
Fgf7,Fgfr2,
Fgf7,Fgfr3,
Cthrc1,Fzd3,
Tg,Lrp2,
Ntng1,Lrrc4c,
Prl7c1,Prlr,
Postn,Itgb1,
Cxcl12,Itga4,
Cxcl12,Oprm1,
Cxcl12,Itgb1,
Prl3d3,Prlr,
Nrg1,Erbb3,
Nrg1,Erbb4,
Sema3e,Plxna1,
Bmp4,Musk,
Nlgn1,Nrxn1,
Nlgn1,Nrxn3,
Nlgn1,Nrxn2,
Osm,Il6st,
Cxcl2,Cxcr2,
Jag2,Notch2,
Jag2,Notch3,
Pdgfa,Pdgfra,
Itgb1bp1,Itgb1,
Sftpd,Sirpa,
Pth,Ramp1,
Gnas,Ptgdr,
Gnas,Htr6,
Sema3f,Nrp2,
Prl7b1,Prlr,
Prl3d2,Prlr,
Prl3d1,Prlr,
Adam9,Itgb1,
Hmgb1,Thbd,
Icam1,Ahr,
Col4a4,Itgb1,
Col4a4,Cd93,
Col3a1,Itgb1,
Col3a1,Mag,
Col3a1,Ddr2,
Sema3g,Plxna4,
Sema3g,Nrp2,
Prl6a1,Prlr,
Lama3,Itgb4,
Lama2,Itgb4,
Lama2,Itga7,
Ccl26,Ccr2,
Il11,Il6st,
Il11,Il11ra1,
Ccl21a,Ccr7,
Fgf14,Fgfr2,
Prl7a1,Prlr,
Gng3,Kcnj6,
Il22,Il22ra1,
Gng7,Kcnj6,
Prl2c3,Prlr,
Fyn,Thy1,
Fgf12,Fgfr2,
Selplg,Cxcr2,
Selplg,Selp,
Psen1,Ephb2,
Psen1,Erbb4,
Sema6d,Plxna4,
Sema6d,Kdr,
Pla2g5,Pla2r1,
Sema3b,Nrp2,
Fgf11,Fgfr2,
Gcg,Glp1r,
Rtn4,Rtn4rl2,
Nxph2,Nrxn1,
Prl2b1,Prlr,
Fgf3,Fgfr2,
Cd160,Tnfrsf14,
Sema6c,Plxna1,
Lgals9,Clec7a,
Apoc1,Vldlr,
Ntn1,Robo3,
Ntn1,Dcc,
Ntn1,Unc5d,
Wnt7b,Fzd10,
Wnt7b,Fzd3,
Wnt7b,Fzd7,
Vcan,Selp,
Calm1,Cacna1c,
Prl8a8,Prlr,
Prl8a6,Prlr,
Prl,Prlr,
Prl2c2,Prlr,
Cntf,Il6st,
Eda,Eda2r,
Nrg2,Erbb4,
Btc,Erbb4,
Lgals3,Mag,
Afdn,Nrxn3,
Reln,Vldlr,
Nxph1,Nrxn1,
Nxph1,Nrxn3,
Sytl3,Nrxn1,
Slit2,Plxna1,
Col9a3,Mag,
Wnt11,Ryk,
Cntn2,Cntn1,
L1cam,Cntn1,
Rtn4,Ngfr,
Ngf,Ngfr,
Nts,Ngfr,
Ntf3,Ngfr,
Bdnf,Ngfr,
Omg,Ngfr,
Ntf5,Ngfr,
App,Ngfr,
Il2,Ngfr,
Ccn1,Itgb2,
C3,Itgb2,
Jam3,Itgb2,
Fgg,Itgb2,
Bsg,Itgb2,
Fga,Itgb2,
Icam1,Itgb2,
Vcam1,Itgb2,
Spon2,Itgb2,
Mmp9,Itgb2,
Cd14,Itgb2,
Plau,Itgb2,
Plg,Itgb2,
Icam5,Itgb2,
Tln1,Itgb2,
Angpt2,Itgb2,
Icam2,Itgb2,
Hsp90b1,Pparg,
Bmp7,Acvrl1,
Bmp10,Acvrl1,
Gdf2,Acvrl1,
Bmp15,Acvr1b,
Gdf9,Acvr1b,
Lefty1,Acvr1b,
Lefty2,Acvr1b,
Tdgf1,Acvr1b,
Mstn,Acvr1b,
Gdf11,Acvr1b,
Apob,Lsr,
Vcam1,Itgb7,
Madcam1,Itgb7,
Fn1,Itgb7,
Lamc2,Itga3,
Fn1,Itga3,
Reln,Itga3,
Thbs1,Itga3,
Lgals8,Itga3,
Lgals3,Itga3,
Ihh,Smo,
Shh,Smo,
Sema5a,Plxnb3,
Plau,Plaur,
Ceacam1,Plaur,
Mmp12,Plaur,
Adam10,Axl,
Pros1,Axl,
Vegfa,Axl,
