from,to
Epas1,Osbpl7
Egr1,Tmem98
Sirt1,Tmem98
Nkx2-5,Tmem98
Dnmt1,Tmem98
Igf1,Ybx2
Egr1,Ybx2
Nfe2l2,Ybx2
Epas1,Ybx2
Egr1,Abcc8
Hif1a,Abcc8
Sirt1,Abcc8
Hey2,Cacng3
Egr1,Cacng3
Sox9,Cacng3
Kdm6b,Tmem132a
Hif1a,Tmem132a
Nfatc1,Tmem132a
Rbfox2,Tmem132a
Sox9,Tmem132a
Egr1,Tmem132a
Egr1,Ap2b1
Atf4,Ap2b1
Dnmt1,Ap2b1
Hif1a,Ap2b1
Nfatc1,Ap2b1
Mtor,Ap2b1
Egr1,Tac1
Tlr4,Tac1
Lin28a,Tac1
Erg,Tac1
Atf4,Tac1
Sox9,Tac1
Hif1a,Tac1
Erg,Zfp263
Hey2,Zfp263
Adm,Zfp263
Atf4,Zfp263
Nfe2l2,Zfp263
Nfatc1,Zfp263
Egr1,Zfp263
Egr1,Cx3cl1
Nfe2l2,Cx3cl1
Adm,Cx3cl1
Erg,Cx3cl1
Sox9,Spata20
Egr1,Spata20
Ascl2,Spata20
Nfe2l2,Spata20
Egr1,Cacna1g
Erg,Cacna1g
Pdk1,Cacna1g
Dnmt1,Tnfrsf12a
Igf1,Tnfrsf12a
Vegfa,Tnfrsf12a
Sox9,Tnfrsf12a
Hif1a,Tnfrsf12a
Hmgb1,Tnfrsf12a
Egr1,Tnfrsf12a
Mtor,Tnfrsf12a
Sirt1,Tnfrsf12a
Nfe2l2,Tnfrsf12a
Epas1,Tnfrsf12a
Egr1,Dlx6
Igf1,Dlx6
Nkx2-5,Map3k9
Nfe2l2,Map3k9
Epas1,Map3k9
Kdm6b,Map3k9
Egr1,Map3k9
Sox9,Map3k9
Egr1,Rala
Erg,Rala
Epas1,Rala
Kit,Rala
Nfe2l2,Rala
Pdk1,Rala
Nfatc1,Rala
Hif1a,Baiap2l1
Egr1,Baiap2l1
Pcdh12,Baiap2l1
Nfatc1,Baiap2l1
Sox9,Baiap2l1
Hmgb1,Baiap2l1
Epas1,Baiap2l1
Vegfa,Jhdm1d
Cd74,Jhdm1d
Nfatc1,Jhdm1d
Hmgb1,Jhdm1d
Igf1,Jhdm1d
Nfe2l2,Jhdm1d
Egr1,Jhdm1d
Cd274,Jhdm1d
Atf4,Jhdm1d
Nfatc1,Etv1
Il11,Etv1
Hif1a,Etv1
Pdk1,Etv1
Sox9,Etv1
Nfe2l2,Etv1
Nkx2-5,Etv1
Inhba,Etv1
Erg,Etv1
Egr1,Etv1
Nfe2l2,Agk
Hif1a,Agk
Flt1,Agk
Egr1,Agk
Epas1,Agk
Sox9,Aldh3b1
Nfe2l2,Aldh3b1
Hif1a,Aldh3b1
Ascl2,Aldh3b1
Atf4,Aldh3b1
Pcdh12,Aldh3b1
Rbfox2,Aldh3b1
Kdm6b,Aldh3b1
Ascl2,Ttc22
Krt7,Ttc22
Hif1a,Ttc22
Egr1,Ttc22
Sirt1,Ttc22
Egr1,Phtf2
Nfe2l2,Phtf2
Hif1a,Phtf2
Erg,Phtf2
Nfatc1,Phtf2
Hif1a,Ccl26
Nfe2l2,Ccl26
Egr1,Farp2
Epas1,Farp2
Nfatc1,Farp2
Pdk1,Farp2
Erg,Farp2
Mtor,Ush1c
Hif1a,Ush1c
Hey2,Ush1c
Nfe2l2,Ush1c
Erg,Ush1c
Sox9,Ush1c
Egr1,Ggct
Il33,Ggct
Cd274,Ggct
Igf1,Ggct
Nfatc1,Ggct
Sox9,Dbf4
Vegfa,Dbf4
Mtor,Dbf4
Egr1,Dbf4
Hif1a,Dbf4
Nfatc1,Dbf4
Dnmt1,Dbf4
Egr1,Tbxa2r
Sox9,Tbxa2r
Krt7,Tbxa2r
Dnmt1,Tbxa2r
Igf1,Ifrd1
Atf4,Ifrd1
Flt1,Ifrd1
Pdk1,Ifrd1
Mtor,Ifrd1
Egr1,Ifrd1
Vegfa,Ifrd1
Epas1,Ifrd1
Mtor,Cox10
Nfe2l2,Cox10
Egr1,Cox10
Vegfa,Gtf2ird1
Egr1,Gtf2ird1
Atf4,Gtf2ird1
Egr1,Paf1
Atf4,Paf1
Nfatc1,Paf1
Hif1a,Paf1
Egr1,Vps41
Nfe2l2,Vps41
Flt1,Vps41
Sirt1,Arhgap44
Sox9,Arhgap44
Egr1,Arhgap44
Erg,Elac2
Pdk1,Elac2
Egr1,Elac2
Nfe2l2,Scin
Nfe2l2,Myh13
Nkx2-5,Myh13
Erg,Myh13
Adm,Myh13
Nfatc1,Adipor2
Egr1,Adipor2
Nfe2l2,Adipor2
Atf4,Cdkl3
Nfatc1,Cdkl3
Egr1,Cdkl3
Epas1,Cdkl3
Pdk1,Upp2
Nfatc1,Upp2
