L1,L2,L3,L4,R1,R2,R3,R4,R5,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
CXCL16,,,,S1PR2,,,,,11550,DEVCOMLR:9606:9ECEEE7A7C76,human_disease_LR011440,CXCL16,S1PR2,CXCL16>>S1PR2,simple,1,1,CXCL16>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,0
CCL28,,,,S1PR2,,,,,11551,DEVCOMLR:9606:0B71C1DFB85A,human_disease_LR011441,CCL28,S1PR2,CCL28>>S1PR2,simple,1,1,CCL28>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
APLN,,,,S1PR2,,,,,11552,DEVCOMLR:9606:A68E86CE807C,human_disease_LR011442,APLN,S1PR2,APLN>>S1PR2,simple,1,1,APLN>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,0
CCL27,,,,S1PR2,,,,,11553,DEVCOMLR:9606:B9F283E0ECCF,human_disease_LR011443,CCL27,S1PR2,CCL27>>S1PR2,simple,1,1,CCL27>>S1PR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
AGT,,,,S1PR4,,,,,11554,DEVCOMLR:9606:8F169E1BED91,human_disease_LR011444,AGT,S1PR4,AGT>>S1PR4,simple,1,1,AGT>>S1PR4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,0
C5,,,,S1PR4,,,,,11555,DEVCOMLR:9606:D8BF848F7C16,human_disease_LR011445,C5,S1PR4,C5>>S1PR4,simple,1,1,C5>>S1PR4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,0
POMC,,,,S1PR4,,,,,11556,DEVCOMLR:9606:15409C975207,human_disease_LR011446,POMC,S1PR4,POMC>>S1PR4,simple,1,1,POMC>>S1PR4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
PDYN,,,,S1PR4,,,,,11557,DEVCOMLR:9606:8806A8CDF4F8,human_disease_LR011447,PDYN,S1PR4,PDYN>>S1PR4,simple,1,1,PDYN>>S1PR4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
PPY,,,,S1PR4,,,,,11558,DEVCOMLR:9606:110D88CCC374,human_disease_LR011448,PPY,S1PR4,PPY>>S1PR4,simple,1,1,PPY>>S1PR4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
NPY,,,,S1PR4,,,,,11559,DEVCOMLR:9606:9177A8CEEB3C,human_disease_LR011449,NPY,S1PR4,NPY>>S1PR4,simple,1,1,NPY>>S1PR4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,human_L_R_development.csv,human,Homo sapiens,9606,disease,generic_prior_receptor_in_context_RTF,,,0,,0
